publish at ,clean_text,sentiment ,detailed_url,detailed_sentiment,video_link
2025-02-09T12:51:24Z,uk deals pokémon tcg 151 restocked with a discount on amazon amazon tackles scalpers with their 151 restock and theres a decent discount off rrp this isnt clickbait pokémon tcg 151 is available at amazon right now whilst its also sporting an 18 discount at a tidy £2394 theres a catch in order to control stock and to avoid availabilit… 3353 chars,positive,https://www.ign.com/articles/uk-deals-pokmon-tcg-151-restocked-with-a-discount-on-amazon,1,
2025-02-09T12:36:38Z,investors await new inflation data amid tariff concerns what to know this week a fresh reading on consumer prices headlines the week ahead as markets have been jittery about trump policy and the path forward for inflation stocks ended the first week of february little changed as investors digested corporate earnings from big tech companies a hotterthanexpected january jobs report and continuing updates on presiden… 7677 chars,positive,https://finance.yahoo.com/news/investors-await-new-inflation-data-amid-tariff-concerns-what-to-know-this-week-123638256.html,2,
2025-02-09T12:20:00Z,"new eu copyright spurs hope of an electrified lancia fulvia comeback in a new copyright filing at the european union intellectual property office euipo from january 30th stellantis has reserved exclusive rights to apply the fulvia name to “powered vehicles for use on land” and while that’s a long way from a confirmation … photo by chiemseeman public domain at the english wikipedia project
in a new copyright filing at the european union intellectual property office euipo from january 30th stellantis has reserved … 3687 chars",positive,http://electrek.co/2025/02/09/new-eu-copyright-spurs-hope-of-an-electrified-lancia-fulvia-comeback/,5,
2025-02-09T12:14:00Z,"former minimumwage worker retired at 39 with 35m nest egg — now he’s an expat in dubai living on 185kyear at 17 he made the decision to retire early this former minimumwage worker retired at 39 with a 35m nest egg now hes an american expat living on 185kyear in dubai heres how he achieved freedom so early and how you can too
jamal robins… 4316 chars",positive,https://finance.yahoo.com/news/former-minimum-wage-worker-retired-121400973.html,8,
2025-02-09T12:10:02Z,we wouldnt be too quick to buy enbridge inc tseenb before it goes exdividend some investors rely on dividends for growing their wealth and if youre one of those dividend sleuths you might be some investors rely on dividends for growing their wealth and if youre one of those dividend sleuths you might be intrigued to know that enbridge inc tseenb is about to go exdividend in just … 4734 chars,positive,https://finance.yahoo.com/news/wouldnt-too-quick-buy-enbridge-121002936.html,-10,
2025-02-09T12:04:57Z,"2 vanguard index etfs to buy with 500 and hold forever the stock market has turned in some very robust returns in the past couple of years which is starting to attract new investors however investing in individual stocks is not easy
in fact one jp morgan study that looked at individual stock returns in the r… the stock market has turned in some very robust returns in the past couple of years which is starting to attract new investors however investing in individual stocks is not easyin fact one jp mo… 146 chars",positive,https://biztoc.com/x/dfc6b12204395935,-8,
2025-02-09T12:04:15Z,"dalal street week ahead india  us inflation q3 earnings powell testimony among 10 key factors to watch dalal street week ahead india  us inflation q3 earnings powell testimony among 10 key factors to watchmoneycontrolcom the market extended its upward journey for the second consecutive week with the nifty 50 rising 033 percent amid volatility in the week that ended on february 7
the sentiment in the market was po… 10018 chars",positive,https://www.moneycontrol.com/news/business/markets/dalal-street-week-ahead-india-us-inflation-q3-earnings-powell-testimony-among-10-key-factors-to-watch-12934850.html,10,
2025-02-09T12:00:00Z,"6 cybersecurity stocks to buy in 2025 looking for the top cybersecurity stocks for 2025 check out the list here of the top cybersecurity stocks that made the list to add cybersecurity exposure to your portfolio look for companies with strong growth records and   improving profitability
getty
executive leaders recently identified cyber and technology … 11916 chars",positive,https://www.forbes.com/sites/investor-hub/article/best-cybersecurity-stocks-to-buy-2025/,-6,
2025-02-09T11:50:51Z,top wall street analysts pick these 3 stocks for attractive dividends tipranks analyst ranking service spotlights three dividendpaying stocks including international business machines and verizon talk around tariffs the emergence of chinas deepseek and earnings of key companies have put the stock market on a rollercoaster ride investors seeking stable returns may consider adding dividend … 5666 chars,positive,https://www.cnbc.com/2025/02/09/top-wall-street-analysts-pick-these-3-stocks-for-attractive-dividends.html,-5,
2025-02-09T11:42:31Z,alpha picks weekly market recap analyst’s disclosure iwe have no stock option or similar derivative position in any of the companies mentioned and no plans to initiate any such positions within the next 72 hours i wrote this article myself and it expresses my own opinions i am not re… analysts disclosure iwe have no stock option or similar derivative position in any of the companies mentioned and no plans to initiate any such positions within the next 72 hours i wrote this ar… 149 chars,positive,https://biztoc.com/x/51afccf8f56916e4,0,
